dice,iou,hd95,precision,recall,specificity,tp,pred_voxels,true_voxels,fold,case
0.0,0.0,222.81942749023438,0.0,0.0,0.9998459815979004,0,2212,239,2,lung_069.nii.gz
0.10073094815015793,0.05303669348359108,291.0807800292969,0.055647749453783035,0.5300316214561462,0.999591588973999,503,9038,949,2,lung_079.nii.gz
0.11820705980062485,0.06281618773937225,212.76483154296875,0.06933457404375076,0.4005376398563385,0.9997574687004089,149,2149,372,2,lung_080.nii.gz
0.0,0.0,194.67318725585938,0.0,0.0,0.9997390508651733,0,3914,395,2,lung_083.nii.gz
0.2930695712566376,0.17169392108917236,224.88470458984375,0.40011098980903625,0.2312132567167282,0.9997924566268921,2163,5406,9355,2,lung_086.nii.gz
0.24748390913009644,0.14121633768081665,292.7060852050781,0.15018022060394287,0.7022472023963928,0.9998008608818054,750,4993,1068,2,lung_092.nii.gz
0.33560091257095337,0.20163488388061523,320.3685302734375,0.20998865365982056,0.8314606547355652,0.9999431371688843,370,1760,445,3,lung_003.nii.gz
0.12431444227695465,0.06627680361270905,234.51864624023438,0.08160000294446945,0.260869562625885,0.9999369382858276,102,1250,391,3,lung_004.nii.gz
0.09238040447235107,0.04842706024646759,218.00938415527344,0.13556115329265594,0.07006300240755081,0.999737560749054,645,4758,9206,3,lung_014.nii.gz
0.0,0.0,237.25523376464844,0.0,0.0,0.9999307990074158,0,1347,2493,3,lung_018.nii.gz
0.6835994124412537,0.5192943811416626,205.78146362304688,0.5793358087539673,0.8328912258148193,0.9999632835388184,942,1625,1131,3,lung_025.nii.gz
0.190476194024086,0.10526315867900848,252.08836364746094,0.11393892019987106,0.5808383226394653,0.9997413754463196,582,5109,1002,3,lung_029.nii.gz
0.6090278029441833,0.4378432333469391,146.62030029296875,0.6902794241905212,0.5448896884918213,0.9998588562011719,5262,7623,9657,3,lung_033.nii.gz
0.6873661875724792,0.5236541628837585,244.4583282470703,0.6318897604942322,0.7535211443901062,0.9999184608459473,3210,5080,4260,3,lung_034.nii.gz
0.0,0.0,259.2301940917969,0.0,0.0,0.9998751878738403,0,1978,2352,3,lung_036.nii.gz
0.165148064494133,0.09000620990991592,247.187744140625,0.10161177068948746,0.4407294690608978,0.9999136924743652,145,1427,329,3,lung_037.nii.gz
0.29261311888694763,0.1713806837797165,281.6171569824219,0.45193371176719666,0.21634487807750702,0.9999505877494812,818,1810,3781,3,lung_044.nii.gz
0.6493425369262695,0.4807603061199188,174.0500946044922,0.8223631978034973,0.5364717841148376,0.9999875426292419,1037,1261,1933,3,lung_045.nii.gz
0.07721169292926788,0.040156107395887375,141.52719116210938,0.8494171500205994,0.04044438898563385,0.9999629855155945,4445,5234,109904,3,lung_053.nii.gz
0.64112389087677,0.47180449962615967,149.08819580078125,0.5833817720413208,0.711552083492279,0.9999455213546753,1004,1721,1411,3,lung_057.nii.gz
0.0,0.0,173.90769958496094,0.0,0.0,0.9999897480010986,0,175,233,3,lung_058.nii.gz
0.768616259098053,0.6241890788078308,156.90350341796875,0.6809908747673035,0.8821218013763428,0.9999596476554871,1347,1978,1527,3,lung_062.nii.gz
0.12410501390695572,0.0661577582359314,221.411376953125,0.09059233218431473,0.19696970283985138,0.9999122619628906,130,1435,660,3,lung_070.nii.gz
0.7463682889938354,0.5953648686408997,266.63739013671875,0.8069902658462524,0.6942179203033447,0.9998776912689209,5703,7067,8215,3,lung_074.nii.gz
0.7202947735786438,0.5628598928451538,305.6864013671875,0.7533718943595886,0.6902030110359192,0.9999631643295288,2346,3115,3399,3,lung_075.nii.gz
0.776411235332489,0.63453608751297,112.470947265625,0.8141534328460693,0.7420132756233215,0.9999649524688721,1231,1512,1659,3,lung_078.nii.gz
0.0,0.0,300.333740234375,0.0,0.0,0.9998782277107239,0,1806,196,3,lung_096.nii.gz
